datetime,temperature,year,month,day,hour
2025-03-03 09:00:00,0.9,2025,3,3,9
2025-03-03 12:00:00,3.1,2025,3,3,12
2025-03-03 15:00:00,4.0,2025,3,3,15
2025-03-03 18:00:00,2.6,2025,3,3,18
2025-03-03 21:00:00,1.8,2025,3,3,21
2025-03-04 00:00:00,2.4,2025,3,4,0
2025-03-04 03:00:00,2.0,2025,3,4,3
2025-03-04 06:00:00,1.8,2025,3,4,6
2025-03-04 09:00:00,6.4,2025,3,4,9
2025-03-04 12:00:00,8.5,2025,3,4,12
2025-03-04 15:00:00,9.3,2025,3,4,15
2025-03-04 18:00:00,6.0,2025,3,4,18
2025-03-04 21:00:00,4.6,2025,3,4,21
2025-03-05 00:00:00,2.8,2025,3,5,0
2025-03-05 03:00:00,-2.3,2025,3,5,3
2025-03-05 06:00:00,3.0,2025,3,5,6
2025-03-05 09:00:00,9.1,2025,3,5,9
2025-03-05 12:00:00,13.4,2025,3,5,12
2025-03-05 15:00:00,14.2,2025,3,5,15
2025-03-05 18:00:00,9.1,2025,3,5,18
2025-03-05 21:00:00,5.5,2025,3,5,21
2025-03-06 00:00:00,0.5,2025,3,6,0
2025-03-06 03:00:00,3.5,2025,3,6,3
2025-03-06 06:00:00,4.0,2025,3,6,6
2025-03-06 09:00:00,13.1,2025,3,6,9
2025-03-06 12:00:00,17.6,2025,3,6,12
2025-03-06 15:00:00,18.9,2025,3,6,15
2025-03-06 18:00:00,12.0,2025,3,6,18
2025-03-06 21:00:00,3.8,2025,3,6,21
2025-03-07 00:00:00,-2.3,2025,3,7,0
2025-03-07 03:00:00,-2.7,2025,3,7,3
2025-03-07 06:00:00,-1.2,2025,3,7,6
2025-03-07 09:00:00,11.6,2025,3,7,9
